ten_san_pham,ram_gb,o_cung_gb,gia_ban,cpu_NAN,ram_gb_NAN,o_cung_gb_NAN,vga_NAN,thuong_hieu_ASUS,thuong_hieu_Acer,thuong_hieu_Apple,thuong_hieu_Asus,thuong_hieu_DELL,thuong_hieu_Dell,thuong_hieu_GIGABYTE,thuong_hieu_Gigabyte,thuong_hieu_HP,thuong_hieu_Hp,thuong_hieu_Khác,thuong_hieu_LENOVO,thuong_hieu_Lenovo,thuong_hieu_Lg,thuong_hieu_MACBOOK,thuong_hieu_MSI,thuong_hieu_Msi,thuong_hieu_Other,thuong_hieu_Surface,cpu_Core Ultra 5,cpu_Core Ultra 7,cpu_Core Ultra 9,cpu_Core i3,cpu_Core i5,cpu_Core i7,cpu_Core i9,cpu_Other,cpu_Ryzen 5,cpu_Ryzen 7,vga_Apple GPU,vga_INTEL ARC GRAPHICS,vga_INTEL GRAPHICS,vga_INTEL IRIS XE,vga_INTEL IRIS XE GRAPHICS,vga_INTEL UHD GRAPHICS,vga_NVIDIA Card Rời,vga_Onboard,vga_Other,vga_RTX 3050 6GB
Laptop HP 250R G9 - AX3C8AT (i3-1315U/ 8GB/ 512GB/ Windows 11 Home Single Language 64-bit,-1.0,0.0,-0.0894354387926215,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Gigabyte Gaming A16 CMHI2VN894SH (i7-13620H/ GeForce RTX 4050/ 16GB/ 1TB/ Windows 11 Home SL,0.0,2.0,0.8943543879262158,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Lenovo Legion Pro 7 16IAX10H - 83F500JGVN (Ultra 9 275HX/ GeForce RTX 5070Ti/ 32GB/ 1TB) (FIFA World Cup 26 Edition,2.0,2.0,3.586920067076579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Acer Nitro ProPanel ANV15-52-73Z8 (Core 7 240H/ GeForce RTX 4050/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,1.2017887087758523,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Acer Nitro ProPanel ANV15-52-50VA (Core 5 210H/ GeForce RTX 3050/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,0.92230296254891,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Acer Aspire Go 15 AG15-72P-35X9 (i3-1305U/ 8GB/ 256GB/ Windows 11,-1.0,-1.0,-0.2291783119060927,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Dell 15 DC15250-i7U161W11SLU-5 (i7-1355U/ 16GB/ 1TB/ Win 11 Home SL + Office + Microsoft,0.0,2.0,0.4192286193404136,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Asus Vivobook 14 M1405NAQ-LY010W (Ryzen 5 150/ 16GB/ 512GB/ Windows 11 Home,0.0,0.0,0.2012297372833985,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Laptop Asus Vivobook 15 M1502NAQ-BQ031W (Ryzen 7 170/ 16GB/ 512GB/ Windows 11 Home,0.0,0.0,0.2627166014533258,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Laptop Asus Zenbook S 16 UM5606GA-SS384WS (Ryzen AI 9 465/ 32GB/ 1TB/ Windows 11 Home + Office + Microsoft,2.0,2.0,2.0122973728339857,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Laptop Dell 16 Plus DB16250 - X65NW7 (Ultra 7-256V/ 16GB/ 1TB/ Win 11 Home + Office,0.0,2.0,1.0620458356623812,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Dell 16 Plus DB16250 - X65NW9 (Ultra 9-288V/ 32GB/ 2TB/ Win 11 Home + Office,2.0,3.0,1.84460592509782,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Dell 14 DC14255-R7165W11SLU (Ryzen 7 250/ 16GB/ 512GB/ Win 11 Home + Office + Microsoft,0.0,0.0,0.3074343208496367,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Laptop Dell 14 DC14250 - C3U085W11SLU (Core 3 100U/ 8GB/ 512GB/ Win 11 Home + Office + Microsoft,-1.0,0.0,-0.1229737283398546,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Msi Prestige 14 AI+ Evo C2VMG-020VN (Ultra 7-258V/ 32GB/ 1TB/ Win 11 Home,2.0,2.0,1.0620458356623812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Msi Modern 15 H AI C2HMG-220VN (Ultra 7-255H/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,0.4471771939631079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Msi Modern 15 H C2RMG-287VN (Core 7 240H/ 16GB/ 1TB/ Win 11 Home SL,0.0,2.0,0.4471771939631079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Asus ROG Strix G16 G614PH-S5101W (Ryzen 9 8940HX/ GeForce RTX 5050/ 16GB/ 512GB/ Win 11 Home,0.0,0.0,1.5092230296254892,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Acer Nitro ProPanel AN16S-61-R193 (Ryzen AI 9 365/ GeForce RTX 5070/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,2.4594745667970934,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Lenovo LOQ 15ARP10E - 83S0006QVN (Ryzen 7 7735HS/ GeForce RTX 3050/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,0.6987143655673561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Laptop Dell 14 DC14250 DC4C5386W (Core 5 120U/ 16GB/ 512GB/ Win 11 Home SL + Office,0.0,0.0,0.1509223029625489,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Asus TUF Gaming F16 FX608JH-RV131W (i5-13450HX/ GeForce RTX 5050/ 32GB/ 512GB/ Win 11 Home,2.0,0.0,0.8943543879262158,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Asus ROG Zephyrus G14 GA403WW-QS145WS (Ryzen AI 9 HX 370/ GeForce RTX 5080/ 32GB/ 2TB/ Win 11 Home + Office + Microsoft,2.0,3.0,3.586920067076579,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Lenovo LOQ 15ARP10E - 83S0004FVN (Ryzen 7 7735HS/ GeForce RTX 4050/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,0.6707657909446618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Laptop Acer Nitro Lite 16 NL16-71G-71FN (i7-13620H/ GeForce RTX 4050/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,0.9502515371716044,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Acer Swift Edge 14 AI SFE14-51T-52KD (Ultra 5-228V/ 32GB/ 512GB/ Win 11 Home SL,2.0,0.0,1.4533258803801006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Lenovo Ideapad 5 14AKP10 - 83HX00ABVN (Ryzen AI 5 330/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,0.3633314700950251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Laptop Lenovo IdeaPad 3 15ARP10 - 83K700EWVN (Ryzen 7 7735HS/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,0.2515371716042482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Laptop Lenovo IdeaPad 3 15ARP10 - 83K700EVVN (R7 7735HS/ 24GB/ 512GB/ Win 11 Home SL,1.0,0.0,0.2794857462269424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Laptop Dell Pro 14 PC14250 - 42LTU7PC14250 (Ultra 7-255U/ 16GB/ 512GB/ Win 11 Pro,0.0,0.0,1.028507546115148,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop HP Victus 15 fa2732TX - B85LPPA (i5-13420H/ GeForce RTX 4050/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,0.5477920626048072,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop HP OmniBook 5 Flip 14-fp0057TU - BZ7Q6PA (Core 5 120U/ 16GB/ 512GB/ Win 11 Home SL + Office,0.0,0.0,0.5366126327557295,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop HP OmniBook 5 Flip 14-fp0055TU - BZ7Q4PA (Core 7 150U/ 24GB/ 512GB/ Win 11 Home SL + Office,1.0,0.0,0.7713806595863612,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop HP 14 ep1179TU - C89ZSPA (Core 5 120U/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,0.0950251537171604,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop HP 15-fd0823TU - C81NMPA (i7-1355U/ 16GB/ 512GB/ Win 11 Home,0.0,0.0,0.2850754611514813,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Acer Nitro ProPanel ANV16S-41-R337 (Ryzen 7-260/ GeForce RTX 5050/ 16GB/ 1TB/ Win 11 Home SL,0.0,2.0,1.5092230296254892,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Gigabyte Gaming A16 CTHH3VN893SH (i5-13420H/ GeForce RTX 5050/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,0.810508664058133,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Gigabyte AERO-X16 X161VH93VNC64AH (Ryzen AI 7 350/ GeForce RTX 5060/ 32GB/ 1TB/ Win 11 Home SL,2.0,2.0,1.621017328116266,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
Laptop Gigabyte Gaming A16 CTHI3VN893SH (i7-13620H/ GeForce RTX 5050/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,0.9502515371716044,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Gigabyte Gaming A16 CWHI3VNC94SH (i7-13620H/ GeForce RTX 5070/ 16GB/ 1TB/ Win 11 Home SL,0.0,2.0,1.5092230296254892,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Gigabyte Gaming A16 CVHI3VNC94SH (i7-13620H/ GeForce RTX 5060/ 16GB/ 1TB/ Win 11 Home SL,0.0,2.0,1.2017887087758523,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop HP 14 ep1178TU - C89ZRPA (Core 5 120U/ 16GB/ 1TB/ Win 11 Home SL,0.0,2.0,0.1509223029625489,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop HP 14 ep1137TU - C2CY8PA (Ultra 7-155H/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,0.4248183342649524,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Msi Cyborg 15 A13UC-2088VN (i5-13420H/ GeForce RTX 3050/ 16GB/ 512GB/ Win 11 Home,0.0,0.0,0.6539966461710452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Msi Cyborg 15 B13WFKG-658VN (Core i7-13620H/ GeForce RTX 5060/ 16GB/ 1TB/ Win 11 Home,0.0,2.0,1.3135830072666297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Msi Cyborg 15 A13VEK-2089VN (Core i7-13620H/ GeForce RTX 4050/ 16GB/ 512GB/ Win 11 Home,0.0,0.0,0.9502515371716044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Msi Cyborg 15 B13WEKG-676VN (i5-13420H/ GeForce RTX 5050/ 16GB/ 512GB/ Win 11 Home,0.0,0.0,1.145891559530464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop Dell Pro 14 Plus PB14250-235U-16512W (Ultra 5-235U/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,1.0061486864169928,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop Lenovo Legion 5 15IRX10 - 83LY00HRVN (i7-13650HX/ GeForce RTX 5050/ 16GB/ 512GB/ Win 11 Home SL + Office,0.0,0.0,1.3415315818893236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Laptop HP 15-fc0656AU - C81NHPA (Ryzen 5 7430U/ 16GB/ 512GB/ Win 11 Home,0.0,0.0,-0.0503074343208496,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Laptop HP Elitebook X Flip G1i - B9FN2PT (Ultra 7-258V/ 32GB/ 1TB/ Windows 11 Pro,2.0,2.0,2.291783119060928,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop HP ProBook 4 G1i - BQ5B4PT (Ultra 5-225H/ 16GB/ 512GB/ Win 11 Home SL,0.0,0.0,0.6707657909446618,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop HP OmniBook 7 16-az0038TU - C2CX1PA (Core 5 210H/ 24GB/ 512GB/ Win 11 Home SL + Office,1.0,0.0,0.5925097820011179,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Laptop HP EliteBook 6 G1i - BQ9N5PT (Ultra 7-265U/ 16GB/ 512GB/ Win 11 Pro,0.0,0.0,1.3024035774175515,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
